,#,Title,Fork Score,Release Date,Accolades,Notes,Topic,Guest 1,Guest 2,Guest 3,Guest 4
0,1,Chili’s with Eva Anderson,3.33,"May 20, 2015",,,Chili’s,Eva Anderson,,,
1,2,Taco Bell with Jack Allison,4.33,"May 25, 2015",,,Taco Bell,Jack Allison,,,
2,3,IHOP with Alison Agosti,3.83,"May 28, 2015",,,IHOP,Alison Agosti,,,
3,4,Outback Steakhouse with Jon Gabrus,3.83,"June 4, 2015",,,Outback Steakhouse,Jon Gabrus,,,
4,5,Long John Silver's with Mary Holland,2.83,"June 11, 2015",,,Long John Silver's,Mary Holland,,,
5,6,TGI Fridays with Jordan Morris,3.83,"June 18, 2015",,"Mitch coins ""Spoonman""",TGI Fridays,Jordan Morris,,,
6,7,Chipotle with Mike Hanford,4.67,"June 25, 2015",Golden Plate Club,,Chipotle,Mike Hanford,,,
7,8,Umami Burger with Heather Anne Campbell,2.50,"July 2, 2015",,,Umami Burger,Heather Anne Campbell,,,
8,9,Carl’s Jr./Hardee’s with Ben Axelrad,4.33,"July 9, 2015",Golden Plate Club,creation of the Golden Plate Club and Platinum Plate Club,Carl’s Jr./Hardee’s,Ben Axelrad,,,
9,10,Domino’s with Matt Kowalick,3.67,"July 16, 2015",,,Domino’s,Matt Kowalick,,,
10,11,Carrows with Erin Whitehead,1.00,"July 23, 2015",Broken Plate Club,score revised from 1.50 in later ep,Carrows,Erin Whitehead,,,
11,12,Chick-fil-A with Betsy Sodaro,4.50,"July 29, 2015",Golden Plate Club,"denied entry to the Golden Plate Club, but in ep. 13, Mitch allows them in.",Chick-fil-A,Betsy Sodaro,,,
12,13,Denny’s with Farley Elliott,3.17,"August 6, 2015",,,Denny’s,Farley Elliott,,,
13,14,Original Tommy’s with Jim Woods,3.50,"August 12, 2015",Hand-Holding Club,first time Yusong is mentioned on the show (he was helping out),Original Tommy’s,Jim Woods,,,
14,15,Boston Market with Annie Mebane,3.50,"August 19, 2015",Hand-Holding Club,,Boston Market,Annie Mebane,,,
15,16,In-N-Out Burger with Armen Weitzman,4.33,"August 27, 2015",Platinum Plate Club,score revised from 5.00 in later ep,In-N-Out Burger,Armen Weitzman,,,
16,17,Subway with Fran Gillespie,2.33,"September 3, 2015",,"first ""howdy ho!"" to Spoon Nation",Subway,Fran Gillespie,,,
17,18,Steak ‘n Shake with Evan Susser,2.67,"September 9, 2015",🥩🥤,score revised from 3.33 in later ep,Steak ‘n Shake,Evan Susser,,,
18,19,Buffalo Wild Wings with Matt Selman,4.11,"September 18, 2015",Golden Plate Club,tickle porn,Buffalo Wild Wings,Matt Selman,,,
19,20,Starbucks with Joe Saunders,2.83,"September 24, 2015",,first Bill Clinton appearance; score revised from 3.17 in later ep,Starbucks,Joe Saunders,,,
20,21,L&L Hawaiian Barbecue with Eugene Cordero,4.17,"October 1, 2015",Golden Plate Club,,L&L Hawaiian Barbecue,Eugene Cordero,,,
21,22,Cabo Wabo Cantina with Julie Brister,3.17,"October 8, 2015",🎸,Rockdoughberfest; cupcakes are pie; score revised from 3.67 in later eps,Cabo Wabo Cantina,Julie Brister,,,
22,23,Margaritaville with Mike Carlson,3.17,"October 15, 2015",🎸,Rockdoughberfest; score revised from 3.50 in later eps,Margaritaville,Mike Carlson,,,
23,24,Hard Rock Cafe with Scott Gairdner,2.17,"October 22, 2015",🎸,Rockdoughberfest; score revised from 2.33 in later ep,Hard Rock Cafe,Scott Gairdner,,,
24,25,Rock & Brews with Zoe Jarman,3.17,"October 29, 2015",🎸,Rockdoughberfest,Rock & Brews,Zoe Jarman,,,
25,26,Burger King with John Roy,3.50,"November 5, 2015",,,Burger King,John Roy,,,
26,27,Fuddruckers with Ryan Perez,4.33,"November 12, 2015",Golden Plate Club,"first ""The Doughboys can't be bought""",Fuddruckers,Ryan Perez,,,
27,28,Del Taco with Alan Yang,4.50,"November 19, 2015",Golden Plate Club,Alan gave Nick and Mitch hats!,Del Taco,Alan Yang,,,
28,29,Wingstop with Emmy Blotnick,3.17,"December 3, 2015",,,Wingstop,Emmy Blotnick,,,
29,30,Arby’s with Vanessa Ramos,3.50,"December 10, 2015",,first Spoonman drop,Arby’s,Vanessa Ramos,,,
30,31,Steak ‘n Shake 2 with Evan Susser,5.00,"December 17, 2015",🥩🥤 Platinum Plate Club,,Steak ‘n Shake 2,Evan Susser,,,
31,32,Pizza Hut with Neil Campbell,2.17,"January 7, 2016",,,Pizza Hut,Neil Campbell,,,
32,33,Five Guys with Jefferson Dutton,3.83,"January 14, 2016",Hand-holding Club,score revised from 3.50 in later episodes,Five Guys,Jefferson Dutton,,,
33,34,California Pizza Kitchen with Eva Anderson,3.17,"January 21, 2016",,,California Pizza Kitchen,Eva Anderson,,,
34,35,Krispy Kreme with Matt Besser,3.83,"January 28, 2016",,,Krispy Kreme,Matt Besser,,,
35,36,Togo’s with Matty Smith,2.00,February 4. 2016,,Soupless Bitch,Togo’s,Matty Smith,,,
36,37,Panda Express with Tricia McAlpin,3.17,February 11. 2016,,,Panda Express,Tricia McAlpin,,,
37,38,Mimi’s Cafe with Georgia Hardstark,3.43,February 18. 2016,,,Mimi’s Cafe,Georgia Hardstark,,,
38,39,Wendy’s with Paul Rust,5.00,February 25. 2016,Platinum Plate Club,,Wendy’s,Paul Rust,,,
39,40,Tournament of Chompions: Carl’s Jr./Hardee’s v. Fuddruckers,Winner: Carl's Jr.,"March 3, 2016",🍔,(guest: Jess McKenna),,Jess McKenna,,,
40,41,Tournament of Chompions: Eat-in Minisode – ??? v. ???,Winner: Burger King,"March 9, 2016",🍔,(no guest; Evan Susser calls in),,,,,
41,42,Tournament of Chompions: Steak ‘n Shake v. 6-seed,Winner: Five Guys,"March 10, 2016",🍔,(guest: Michael Cassady),,Michael Cassady,,,
42,43,Tournament of Chompions: Carl’s Jr./Hardee’s v. In-N-Out Burger,Winner: In-N-Out Burger,"March 17, 2016",🍔,(guest: John Gemberling & Evan Susser),,John Gemberling,Evan Susser,,
43,44,Tournament of Chompions: Minisode – Five Guys v. Shake Shack,Winner: Shake Shack,"March 23, 2016",🍔,(guests: Evan Susser & Matty Smith),,,,,
44,45,Tournament of Chompions: Minisode Winner v. Wendy’s,Winner: Shake Shack,"March 24, 2016",🍔,(guest: Nicole Byer),,Nicole Byer,,,
45,46,Tournament of Chompions: FINALS – In-N-Out Burger v. Shake Shack,Winner: In-N-Out Burger,"March 31, 2016",🍔,(guest: Evan Susser),,Evan Susser,,,
46,47,Veggie Grill with Nathan Barnatt,4.50,"April 7, 2016",Golden Plate Club,,Veggie Grill,Nathan Barnatt,,,
47,48,Chuck E. Cheese’s with Erin McGathy,1.42,"April 14, 2016",Broken Plate Club,"Nick's infamous ""Voluminous Wet Dream"" story.",Chuck E. Cheese’s,Erin McGathy,,,
48,49,Sweetgreen with Siobhan Thompson,4.33,"April 21, 2016",Golden Plate Club,Hand-Holding Club; score revised in later episode,Sweetgreen,Siobhan Thompson,,,
49,50,Hillstone with David Phillips,5.00,"April 28, 2016",Platinum Plate Club,,Hillstone,David Phillips,,,
50,51,The Olive Garden with Christine Nangle,1.83,"May 5, 2016",,,The Olive Garden,Christine Nangle,,,
51,52,Morton’s The Steakhouse with Tim Kalpakis,5.00,"May 12, 2016",Platinum Plate Club,the debut of Roast Spoonman,Morton’s The Steakhouse,Tim Kalpakis,,,
52,53,Yoshinoya with Jensen Karp,1.67,"May 19, 2016",Broken Plate Club,,Yoshinoya,Jensen Karp,,,
53,54,Popeyes Louisiana Kitchen with Lesley Arfin,3.67,"May 26, 2016",,first mention of Wolly & Irma,Popeyes Louisiana Kitchen,Lesley Arfin,,,
54,55,Baja Fresh with Claudia O’Doherty,2.33,"June 2, 2016",,,Baja Fresh,Claudia O’Doherty,,,
55,56,Jollibee with Jonah Ray,2.75,"June 9, 2016",,,Jollibee,Jonah Ray,,,
56,57,Hokkaido Ramen Santouka with Jeff Kenji Sloniker,4.67,"June 16, 2016",Golden Plate Club,,Hokkaido Ramen Santouka,Jeff Kenji Sloniker,,,
57,58,Pinkberry with Lauren Lapkus,3.00,"June 23, 2016",Hand-holding Club,,Pinkberry,Lauren Lapkus,,,
58,59,Islands with Nick Mundy,4.00,"June 23, 2016",,,Islands,Nick Mundy,,,
59,60,Bubba Gump Shrimp Co. with Paul Scheer,3.00,"July 7, 2016",Hand-holding Club,,Bubba Gump Shrimp Co.,Paul Scheer,,,
60,61,Bob’s Big Boy with Dave Ferguson,3.97,"July 14, 2016",,,Bob’s Big Boy,Dave Ferguson,,,
61,62,Fatburger with Yamara Taylor,4.67,"July 20, 2016",Golden Plate Club,first mention that Nick hates fries,Fatburger,Yamara Taylor,,,
62,63,7-Eleven with Fran Gillespie (Live),3.17,"July 28, 2016",🎤,first live ep. Live in Los Angeles,7-Eleven,Fran Gillespie (Live),,,
63,MINI,The 2016 Doughlympic Opening Ceremonies hosted by Joe Saunders,,"August 2, 2016",🏅,"Minisode: Evan Susser, Max Mayer, Yusong Liu",,,,,
64,64,Domino’s v. Papa John’s v. Pizza Hut with Michael Blaiklock,,"August 4, 2016",🏅,Doughlympics: Pizza Division,Domino’s v. Papa John’s v. Pizza Hut,Michael Blaiklock,,,
65,AD1,After Dough with Joe Episode 1,,"August 8, 2016",🏅,Minisode: Joe Saunders,After Dough,Joe Episode 1,,,
66,65,Chipotle v. Del Taco v. Taco Bell with Courtney Davis,,"August 11, 2016",🏅,Doughlympics: Mexican Division,Chipotle v. Del Taco v. Taco Bell,Courtney Davis,,,
67,AD2,After Dough with Joe Episode 2,,"August 16, 2016",🏅,Minisode: Joe Saunders; with Eva Anderson and Dave Ferguson,After Dough,Joe Episode 2,,,
68,66,Dunkin' Donuts v. McDonalds v. Starbucks with Sean O'Connor,,"August 18, 2016",🏅,Doughlympics: Coffee Division,Dunkin' Donuts v. McDonalds v. Starbucks,Sean O'Connor,,,
69,AD3,After Dough with Joe Episode 3,,"August 22, 2016",🏅,Minisode: Joe Saunders; with David Phillips and Yusong Liu,After Dough,Joe Episode 3,,,
70,67,The Cheesecake Factory with Beck Bennett,5.00,"August 25, 2016",Platinum Plate Club,,The Cheesecake Factory,Beck Bennett,,,
71,68,Red Robin with D'Arcy Carden,3.42,"September 1, 2016",,,Red Robin,D'Arcy Carden,,,
72,69,Yogurtland with Van Robichaux,2.33,"September 8, 2016",,,Yogurtland,Van Robichaux,,,
73,70,Dave & Buster’s with Allan McLeod,3.00,"September 15, 2016",,,Dave & Buster’s,Allan McLeod,,,
74,71,Baskin-Robbins with Dave King,4.17,"September 22, 2016",,,Baskin-Robbins,Dave King,,,
75,72,Dairy Queen with Christine Nangle and Matt Selman,4.17,"September 29, 2016",🎤,Live at L.A. Podfest 2016,Dairy Queen,Christine Nangle and Matt Selman,,,
76,73,Red Lobster 1 with Jessica McKenna,,"October 6, 2016",🦞,"During Rocklobsterfest, only the guest gave a fork rating until the final episode",Red Lobster 1,Jessica McKenna,,,
77,74,Red Lobster 2 with Ross Kimball,,"October 13, 2016",🦞,"During Rocklobsterfest, only the guest gave a fork rating until the final episode",Red Lobster 2,Ross Kimball,,,
78,75,Red Lobster 3 with Nicole Byer,,"October 20, 2016",🦞,"During Rocklobsterfest, only the guest gave a fork rating until the final episode",Red Lobster 3,Nicole Byer,,,
79,76,Red Lobster 4 with Sean Clements & Hayes Davenport,3.54,"October 27, 2016",🦞,Final overall fork rating of Rocklobsterfest,Red Lobster 4,Sean Clements,Hayes Davenport,,
80,77,Cold Stone Creamery with Kevin T. Porter,3.00,"November 2, 2016",,,Cold Stone Creamery,Kevin T. Porter,,,
81,78,Wood Ranch with Esther Povitsky,3.67,"November 10, 2016",,,Wood Ranch,Esther Povitsky,,,
82,79,Church's Chicken with Demi Adejuyigbe,4.50,"November 17, 2016",Golden Plate Club,,Church's Chicken,Demi Adejuyigbe,,,
83,80,Hooters with Kulap Vilaysack,2.17,"November 30, 2016",,,Hooters,Kulap Vilaysack,,,
84,81,Jack in the Box with Spencer Crittenden,4.00,"December 8, 2016",,,Jack in the Box,Spencer Crittenden,,,
85,82,Steak 'n Shake 3 with Evan Susser,2.17,"December 15, 2016",🥩🥤Platinum Plate Club,The Blow Up episode,Steak 'n Shake 3,Evan Susser,,,
86,RB,Rogueboys: Rogue One with Drew McWeeny,,"December 22, 2016",🍿,Dinner Is The Movie,Rogueboys: Rogue One,Drew McWeeny,,,
87,83,Tender Greens with Ryan Stanger,3.17,"January 5, 2017",,,Tender Greens,Ryan Stanger,,,
88,84,Buca di Beppo with Drew McWeeny,2.58,"January 12, 2017",🥄6️⃣,"Spoonister Six, Week 1",Buca di Beppo,Drew McWeeny,,,
89,85,Tony Roma's with Bug Mane,4.17,"January 19, 2017",🥄6️⃣,"Spoonister Six, Week 2",Tony Roma's,Bug Mane,,,
90,86,Taco Bell 2 with Jon Gabrus (LIVE),4.67,"January 26, 2017",🥄6️⃣ Golden Plate Club,"Spoonister Six, Week 3",Taco Bell 2,Jon Gabrus (LIVE),,,
91,87,Taco Bell 3 with Bobby Lee,4.83,"February 2, 2017",🥄6️⃣ Golden Plate Club,"Spoonister Six, Week 4",Taco Bell 3,Bobby Lee,,,
92,88,BJ's with Sean Clements & Hayes Davenport,3.75,"February 9, 2017",🥄6️⃣,"Spoonister Six, Week 5",BJ's,Sean Clements,Hayes Davenport,,
93,89,Mac To-Fight with Evan Susser & Van Robichaux,,"February 16, 2017",🍽️🎥,Dinner is the Movie: The Founder,Mac To-Fight,Evan Susser,Van Robichaux,,
94,90,In-N-Out Burger 2 with ???,4.75,"February 23, 2017",🥄6️⃣,"Spoonister Six, Week 6",,,,,
95,91,McDonald's v. Panda Express with Fran Gillespie,Winner: McDonald's,"March 2, 2017",🐔,Tournament of Chompions: Chicken Fight: Small Pieces Region,McDonald's v. Panda Express,Fran Gillespie,,,
96,92,Chick-fil-A v. Wendy's with Ryan Perez,Winner: Wendy's,"March 5, 2017",🐔,Tournament of Chompions: Chicken Fight: Sandwich Region,Chick-fil-A v. Wendy's,Ryan Perez,,,
97,DD1,Fat Chance Kitchen with Evan Susser,Winner: Chick-fil-A,"March 6, 2017",🐔 first Double,Tournament of Chompions: Chicken Fight: Fat Chance Kitchen Round 1 (with Mike Carlson),Fat Chance Kitchen,Evan Susser,,,
98,93,Full Bird Region with Eugene Cordero,Winner: Popeyes,"March 9, 2017",🐔,Tournament of Chompions: Chicken Fight: Full Bird Region,Full Bird Region,Eugene Cordero,,,
99,94,Buffalo Wild Wings v. Wingstop with Nicole Byer,Winner: Wingstop,"March 13, 2017",🐔,Tournament of Chompions: Chicken Fight: Wings Region,Buffalo Wild Wings v. Wingstop,Nicole Byer,,,
100,DD2,Fat Chance Kitchen 2 with Eva Anderson,Winner: Church's Chicken,"March 14, 2017",🐔,Tournament of Chompions: Chicken Fight: Fat Chance Kitchen Round 2,Fat Chance Kitchen 2,Eva Anderson,,,
101,95,McDonald's v. Popeyes with Armen Weitzman,Winner: Popeyes,"March 16, 2017",🐔,Tournament of Chompions: Chicken Fight: Semisoft-finals,McDonald's v. Popeyes,Armen Weitzman,,,
102,DD3,Fat Chance Kitchen 3 with Spencer Crittenden,Winner: Church's Chicken,"March 20, 2017",🐔,Tournament of Chompions: Chicken Fight: Fat Chance Kitchen Round 3,Fat Chance Kitchen 3,Spencer Crittenden,,,
103,96,Wendy's v. Wingstop with Matt Selman,Winner: Wingstop,"March 23, 2017",🐔,Tournament of Chompions: Chicken Fight: Semisoft-Finals,Wendy's v. Wingstop,Matt Selman,,,
104,DD4,Fat Chance Kitchen 4 with Joe Saunders,Winner: Wendy's,"March 28, 2017",🐔,Chicken Fight: Fat Chance Kitchen Finals,Fat Chance Kitchen 4,Joe Saunders,,,
105,97,FINALS with Paul Rust,Winner: Wendy's,"March 30, 2017",🐔,Tournament of Chompions: Chicken Fight: FINALS,FINALS,Paul Rust,,,
106,DD5,Dudley Chew-Right with Nick Ross,,"April 3, 2017",🇨🇦,Canadian Snacks,Dudley Chew-Right,Nick Ross,,,
107,98,Jamba Juice with Dylan Gelula,1.83,"April 6, 2017",,,Jamba Juice,Dylan Gelula,,,
108,DD6,Biggie Size Feedbag with Yusong Liu,,"April 10, 2017",📬,,Biggie Size Feedbag,Yusong Liu,,,
109,99,Jimmy John's with Lauren Lapkus,3.33,"April 13, 2017",,,Jimmy John's,Lauren Lapkus,,,
110,DD7,*batteries not included with Amy Nicholson,🔓,"April 17, 2017",🍿,Dinner is the Movie,*batteries not included,Amy Nicholson,,,
111,100,Nugget Power Hour with Nicole Byer & Jon Gabrus,,"April 20, 2017",⏲️,,Nugget Power Hour,Nicole Byer,Jon Gabrus,,
112,DD8,The Wonderful World of Soda with Mike Hanford,,"April 24, 2017",🌎,,The Wonderful World of Soda,Mike Hanford,,,
113,101,Wetzel's Pretzels with Jon Daly,2.50,"April 27, 2017",,,Wetzel's Pretzels,Jon Daly,,,
114,DD9,Wendy Wexler with Evan Susser,,"May 1, 2017",🍿,Dinner is the Movie: Wendy's Fresh Mozzarella Chicken & Sandy Wexler,Wendy Wexler,Evan Susser,,,
115,102,Mr. Pizza with Jesse Thorn,2.50,"May 4, 2017",,,Mr. Pizza,Jesse Thorn,,,
116,DD10,Chews Yourself with Jeff Dutton,,"May 9, 2017",,M&Ms Power Ranking,Chews Yourself,Jeff Dutton,,,
117,103,Carl's Jr./Hardee's 2 with Chris VanArtsdalen,4.00,"May 11, 2017",Golden Plate Club,Hand-holding Club,Carl's Jr./Hardee's 2,Chris VanArtsdalen,,,
118,DD11,Mama Mitchell with Corinne Mitchell,,"May 15, 2017",,Taco Bell's Naked Chicken Chips & Mitch's Mum,Mama Mitchell,Corinne Mitchell,,,
119,104,Sharky's with Erin McGathy,3.00,"May 18, 2017",Hand-holding Club,,Sharky's,Erin McGathy,,,
120,DD12,Mike is Hard with Jesse Farrar,,"May 23, 2017",,Mike's Hard Lemonade flavors,Mike is Hard,Jesse Farrar,,,
121,105,IKEA with Dave Thomason,4.00,"May 25, 2017",,,IKEA,Dave Thomason,,,
122,DD13,Summer's Poppin' with Betsy Sodaro,🔓,"May 30, 2017",,Pop-Tarts and Summer BBQ Draft,Summer's Poppin',Betsy Sodaro,,,
123,106,The Coffee Bean with Hannah Kasulka,3.89,"May 31, 2017",,,The Coffee Bean,Hannah Kasulka,,,
124,DD14,Unsatisfied Yelpers with Erin Whitehead,🔓,"June 5, 2017",,Dr. Pepper Pop Quiz,Unsatisfied Yelpers,Erin Whitehead,,,
125,107,Jersey Mike's with Drew Tarver,3.67,"June 7, 2017",,,Jersey Mike's,Drew Tarver,,,
126,DD15,Dead Men Chew No Meals with Bug Mane,,"June 13, 2017",Dinner Is The Movie,Pirates of the Caribbean and Pepsi Fire,Dead Men Chew No Meals,Bug Mane,,,
127,108,Sizzler with Marisa Pinson,4.17,"June 15, 2017",Golden Plate Club,,Sizzler,Marisa Pinson,,,
128,DD16,Zingin' and Jinglin' with Michael Cassady,,"June 19, 2017",,KFC Zinger and jingles,Zingin' and Jinglin',Michael Cassady,,,
129,109,Burger King 2 with Jordan Morris (LIVE),1.50,"June 22, 2017",,,Burger King 2,Jordan Morris (LIVE),,,
130,DD17,Best of Enemies with Ross Kimball,,"June 26, 2017",Dinner Is The Movie,French Fry Ranking,Best of Enemies,Ross Kimball,,,
131,110,Claim Jumper with Heather Anne Campbell,2.25,"June 29, 2017",,Introducing Hick Wiger and Hike Mitchell,Claim Jumper,Heather Anne Campbell,,,
132,DD18,"Red, White, & Gru with Mary Holland",🔓,"July 3, 2017",Dinner Is The Movie,4th of July and Despicable Me 3,"Red, White, & Gru",Mary Holland,,,
133,111,Shake Shack with Jason Concepcion,4.50,"July 6, 2017",Golden Plate Club,,Shake Shack,Jason Concepcion,,,
134,DD19,Mickey Mouse Chub with Jon Gutierrez,,"July 10, 2017",,Disney Park Attractions,Mickey Mouse Chub,Jon Gutierrez,,,
135,112,Umami Burger 2 with David Neher,3.58,"July 12, 2017",,"Test driving the ""Impossible Burger""",Umami Burger 2,David Neher,,,
136,DD20,Biggie Feedbag 2 with Yusong Liu,,"July 18, 2017",📬,,Biggie Feedbag 2,Yusong Liu,,,
137,113,Golden Corral with Stoney Sharp,3.25,"July 20, 2017",,"the original ""hot salad"" episode",Golden Corral,Stoney Sharp,,,
138,DD21,Hotel Donklevania with Charles Ingram,,"July 24, 2017",Dinner Is The Movie,Donkey Kong and Castlevania,Hotel Donklevania,Charles Ingram,,,
139,114,Dunkin' Donuts with Joe Mande,4.33,"July 27, 2017",Golden Plate Club,,Dunkin' Donuts,Joe Mande,,,
140,DD22,Songs of Summer with Jessica McKenna,,"July 31, 2017",,Wendy's Bacon Queso line,Songs of Summer,Jessica McKenna,,,
141,115,IHOP 2 with Danny Jelinek,2.83,"August 3, 2017",,Rating based on non-breakfast food only (dinner plates).,IHOP 2,Danny Jelinek,,,
142,DD23,An Inconvenient Double with Jack Allison,,"August 7, 2017",Dinner Is The Movie,Doritos Heat Wave and An Inconvenient Sequel,An Inconvenient Double,Jack Allison,,,
143,116,Roscoe's House of Chicken and Waffles with Carl Tart,5.00,"August 10, 2017",Platinum Plate Club,,Roscoe's House of Chicken and Waffles,Carl Tart,,,
144,DD24,The First Domino with Joe Quasarano,🔓,"August 14, 2017",,The Spotted Cheetah,The First Domino,Joe Quasarano,,,
145,117,Daphne's with Jessica Jean Jardine,3.83,"August 17, 2017",,,Daphne's,Jessica Jean Jardine,,,
146,DD25,Celebrity Liquor with Jordan Morris,,"August 21, 2017",,,Celebrity Liquor,Jordan Morris,,,
147,118,Chipotle 2 with Chelsea Davison,3.92,"August 24, 2017",,,Chipotle 2,Chelsea Davison,,,
148,DD26,Malcolm McDonald's with Mookie Blaiklock,,"August 28, 2017",,McDonald's fries,Malcolm McDonald's,Mookie Blaiklock,,,
149,119,KFC with Paul F. Tompkins,3.83,"August 31, 2017",,,KFC,Paul F. Tompkins,,,
150,DD27,Dream Mitchy,🔓,"September 5, 2017",,Pizano's Pizza and Dream Daddy,,,,,
151,120,HomeTown Buffet with Toni Charline,1.33,"September 7, 2017",,,HomeTown Buffet,Toni Charline,,,
152,DD28,WWEating with Matt Mazany,,"September 11, 2017",,,WWEating,Matt Mazany,,,
153,121,Shakey’s Pizza with Kyle Mooney,3.50,"September 14, 2017",Hand-holding Club,,Shakey’s Pizza,Kyle Mooney,,,
154,DD29,The Snacklog with Alana Johnston 🔪,,"September 18, 2017",,,The Snacklog,Alana Johnston 🔪,,,
155,122,El Pollo Loco with Lamar Woods,3.00,"September 21, 2017",,"First ""I'm something of a heat seeker.""",El Pollo Loco,Lamar Woods,,,
156,DD30,Biggie Feedbag 3 with Yusong Liu,,"September 25, 2017",📬,,Biggie Feedbag 3,Yusong Liu,,,
157,123,Guy’s American Kitchen with Christine Nangle (LIVE),2.50,"September 28, 2017",,live in New York City,Guy’s American Kitchen,Christine Nangle (LIVE),,,
158,DD31,Doughsman: The Golden Circle with Ryan Perez,,"October 3, 2017",Dinner Is The Movie,Lay's flavors and Kingsman: The Golden Circle,Doughsman: The Golden Circle,Ryan Perez,,,
159,124,Yard House with Matt Besser,3.67,"October 5, 2017",,Jockdoughberfest 2017,Yard House,Matt Besser,,,
160,DD32,New Pork City with Tiffany Do,,"October 9, 2017",,recorded in a New York City hotel room,New Pork City,Tiffany Do,,,
161,125,ESPN Zone with Neil Campbell,1.25,"October 12, 2017",,Jockdoughberfest 2017,ESPN Zone,Neil Campbell,,,
162,DD33,State of the Podcast with Evan Susser,,"October 16, 2017",,Hostess ice cream products,State of the Podcast,Evan Susser,,,
163,126,Medieval Times with Mary Holland and Matt Newell,4.88,"October 19, 2017",Golden Plate Club,Jockdoughberfest 2017,Medieval Times,Mary Holland and Matt Newell,,,
164,DD34,Gumshoes with Madeline Walter,,"October 23, 2017",,Flight snacks & gum,Gumshoes,Madeline Walter,,,
165,127,The Great Shrimp Off with Sean Clements and Hayes Davenport,,"October 26, 2017",,Jockdoughberfest 2017,The Great Shrimp Off,Sean Clements and Hayes Davenport,,,
166,DD35,Mount Frightmore with Mano Agapion and Betsy Sodaro,,"October 30, 2017",Dinner Is The Movie,Horror movies,Mount Frightmore,Mano Agapion and Betsy Sodaro,,,
167,128,Arby’s 2 with John Hodgman,2.42,"November 2, 2017",,,Arby’s 2,John Hodgman,,,
168,DD36,TacoTime with Evan Susser (LIVE in Portland),2.58,"November 6, 2017",,"A Double, but a full live episode",TacoTime,Evan Susser (LIVE in Portland),,,
169,129,Wienerschnitzel with Rob Huebel,3.75,"November 9, 2017",,,Wienerschnitzel,Rob Huebel,,,
170,DD37,Naked Egg Odyssey with Heather Anne Campbell,,"November 13, 2017",,Naked Egg Taco and Super Mario Odyssey,Naked Egg Odyssey,Heather Anne Campbell,,,
171,130,Dick’s Drive-In with Evan Susser (LIVE),4.67,"November 16, 2017",Golden Plate Club,LIVE in Seattle,Dick’s Drive-In,Evan Susser (LIVE),,,
172,DD38,Mash-Off with Mike Hanford,,"November 20, 2017",,Thanksgiving,Mash-Off,Mike Hanford,,,
173,DD39,Japadog with Evan Susser (LIVE),4.00,"November 27, 2017",Golden Plate Club,"A Double, but a full live episode (LIVE in Vancouver)",Japadog,Evan Susser (LIVE),,,
174,131,Chick-fil-A with Noël Wells,3.75,"November 29, 2017",,,Chick-fil-A,Noël Wells,,,
175,DD40,Biggie Feedbag 4 with Yusong Liu,,"December 4, 2017",📬,Farmhouse King,Biggie Feedbag 4,Yusong Liu,,,
176,132,Fosters Freeze with Holly Prazoff,4.33,"December 7, 2017",Golden Plate Club,,Fosters Freeze,Holly Prazoff,,,
177,DD41,It's a Cookbook! with Kelly Nugent and Lindsay Katai,,"December 11, 2017",,Pumpkin Spice Cheerios,It's a Cookbook!,Kelly Nugent and Lindsay Katai,,,
178,133,Torchy's Tacos with Jon Gabrus (LIVE in Austin),4.17,"December 14, 2017",Golden Plate Club,"live in Austin, TX",Torchy's Tacos,Jon Gabrus (LIVE in Austin),,,
179,DD42,A Very Doughboys Christmas,🔓,"December 19, 2017",🎄,Doughboys Holiday Special,,,,,
180,134,Cinnabon with Nicole Byer,3.78,"December 21, 2017",,,Cinnabon,Nicole Byer,,,
181,DD43,Year-End Clearance with Allan McLeod,,"January 1, 2018",,Snacklog and Feedbag,Year-End Clearance,Allan McLeod,,,
