,#,Title,Fork Score,Release Date,Accolades,Notes,Topic,Guest 1,Guest 2,Guest 3,Guest 4
357,DD,Biggie Feedbag XIV with Yusong Liu & Emma Erdbrink,,"August 27, 2019",📬,,Biggie Feedbag XIV,Yusong Liu,Emma Erdbrink,,
358,218,Popeyes Louisiana Kitchen 2 with Andrew Ti,4.67,"August 29, 2019",Golden Plate Club,,Popeyes Louisiana Kitchen 2,Andrew Ti,,,
359,DD,The Snacklog with Adam Chandler,,"September 3, 2019",,,The Snacklog,Adam Chandler,,,
360,219,Ben's Chili Bowl with Christine Nangle & Carl Tart (LIVE),4.88,"September 5, 2019",Golden Plate Club,"Feast Coast Tour 2019: live from Washington, DC. Also with guest Stormy Daniels.",Ben's Chili Bowl,Christine Nangle,Carl Tart (LIVE),,
361,DD,Feast Coast Tour Diary: Comet Ping Pong,,"September 10, 2019",,"Feast Coast Tour 2019: from Washington, DC AirBnB.",,,,,
362,220,"CAVA with Jamelle Bouie, Carl Tart, and Libby Watson (LIVE)",3.38,"September 12, 2019",,"Feast Coast Tour 2019: live from Washington, DC.",CAVA,"Jamelle Bouie, Carl Tart, and Libby Watson (LIVE)",,,
363,DD,Wawa with Carl Tart & Christine Nangle (LIVE),4.81,"September 17, 2019",Golden Plate Club 🔓,Feast Coast Tour 2019: live from Philadelphia. Also with guest Jon Taffer.,Wawa,Carl Tart,Christine Nangle (LIVE),,
364,221,Marie Callender's with Scott Aukerman,3.83,"September 19, 2019",,,Marie Callender's,Scott Aukerman,,,
365,DD,Xi'an Famous Foods with Mike Hanford & Paul Rust (LIVE),4.58,"September 24, 2019",🔓,Feast Coast Tour 2019: live from New York City. Also with guest The Soup Nazi.,Xi'an Famous Foods,Mike Hanford,Paul Rust (LIVE),,
366,222,Rita's Italian Ice with Carl Tart & Christine Nangle (LIVE),4.19,"September 26, 2019",Golden Plate Club,Feast Coast Tour 2019: live from Philadelphia.,Rita's Italian Ice,Carl Tart,Christine Nangle (LIVE),,
367,DD,World of Coca-Cola,,"October 1, 2019",🔓,Octdoughberfest 2019: The Ate-TL,,,,,
368,223,The Flying Biscuit Cafe with Steve Agee,3.75,"October 3, 2019",Golden Plate Club,Octdoughberfest 2019: The Ate-TL - rating adjusted and removed from the Golden Plate Club in #224.,The Flying Biscuit Cafe,Steve Agee,,,
369,DD,Peaches and Scream with Jen D'Angelo & Samantha Nisenboim,,"October 8, 2019",,Octdoughberfest 2019: The Ate-TL - Peach dishes & Mount Scaremore,Peaches and Scream,Jen D'Angelo,Samantha Nisenboim,,
370,224,Moe's Southwest Grill with Mary Lynn Rajskub,1.58,"October 10, 2019",,Octdoughberfest 2019: The Ate-TL,Moe's Southwest Grill,Mary Lynn Rajskub,,,
371,DD,The Doughboys Went Down To Georgia,,"October 15, 2019",,Octdoughberest 2019: The Ate-TL - hot music from Hot-Lanta,,,,,
372,225,The Varsity with Joe Saunders,4.50,"October 17, 2019",Golden Plate Club,Octdoughberfest 2019: The Ate-TL,The Varsity,Joe Saunders,,,
373,DD,Deliveryance,,"October 22, 2019",Dinner is the Movie,Octdoughberfest 2019: The Ate-TL - Halloween cereals and Deliverance,,,,,
374,226,Krystal with Sam Richardson,2.75,"October 24, 2019",,Octdoughberfest 2019: The Ate-TL,Krystal,Sam Richardson,,,
375,DD,Biggie Feedbag XV with Yusong Liu & Emma Erdbrink,,"October 29, 2019",📬,Octdoughberfest 2019: The Ate-TL,Biggie Feedbag XV,Yusong Liu,Emma Erdbrink,,
376,227,Cook Out with Jesse Farrar & Mike Hale,4.69,"October 31, 2019",Golden Plate Club,Octdoughberfest 2019: The Ate-TL,Cook Out,Jesse Farrar,Mike Hale,,
377,DD,The Twisted World of Pretzels,,"November 5, 2019",,Burger King's Pretzel Bacon King,,,,,
378,228,"White Castle with Mike Hanford, Paul Rust, and Fran Gillespie (LIVE)",2.90,"November 7, 2019",,Feast Coast Tour 2019: live from New York City.,White Castle,"Mike Hanford, Paul Rust, and Fran Gillespie (LIVE)",,,
379,DD,Remember Pepperidge Farm? Doughboys Remembers,,"November 12, 2019",,Pepperidge Farm snacks,,,,,
380,229,Regina Pizzeria with John Hodgman & Nicole Byer (LIVE),5.00,"November 14, 2019",Platinum Plate Club,Feast Coast Tour 2019: live from Boston.,Regina Pizzeria,John Hodgman,Nicole Byer (LIVE),,
381,DD,Let's Faygo with Street Fight Radio with Brett Payne & Bryan Quinby,,"November 19, 2019",,Faygo flavors,Let's Faygo,Brett Payne,Bryan Quinby,,
382,230,99 Restaurant with Nicole Byer & Dano (LIVE),2.13,"November 21, 2019",,Feast Coast Tour 2019: live from Boston.,99 Restaurant,Nicole Byer,Dano (LIVE),,
383,DD,Garfield's Thanksgiving with Paul Rust,🔓,"November 26, 2019",Dinner is the Movie,,Garfield's Thanksgiving,Paul Rust,,,
384,DD,Biggie Feedbag XVI with Emma Erdbrink,,"December 3, 2019",📬,,Biggie Feedbag XVI,Emma Erdbrink,,,
385,231,Noah's New York Bagels with Jennie Pierson,2.83,"December 5, 2019",,,Noah's New York Bagels,Jennie Pierson,,,
386,DD,The 12 Days of Christmas Cookies with Ryan Perez,,"December 10, 2019",,Christmas Cookies and Christmas Movies,The 12 Days of Christmas Cookies,Ryan Perez,,,
387,232,Ample Hills Creamery with Jason Sheridan,4.50,"December 12, 2019",Creamsmen: The Golden Circle,,Ample Hills Creamery,Jason Sheridan,,,
388,DD,The Doughboys Christmas Singalong!,,"December 17, 2019",🎄,,,,,,
389,233,Steak 'n Shake 4 with Evan Susser,3.75,"December 19, 2019",🥩🥤,,Steak 'n Shake 4,Evan Susser,,,
390,DD,It's A Wigerful Life,🔓,"December 24, 2019",🎄,Doughboys Holiday Special,,,,,
391,DD,Biggie Feedbag XVII with Evan Susser,,"December 31, 2019",📬,also with Yusong Liu and Emma Erdbrink,Biggie Feedbag XVII,Evan Susser,,,
392,DD,Double Stacked Dano,,"January 7, 2020",,,,,,,
393,DD,Star Boys Episode IX: The Rise of Dough,,"January 14, 2020",Dinner is the Movie,Star Wars: Episode IX – The Rise of Skywalker,,,,,
394,234,Harold's Chicken Shack with Jacquis Neal,4.67,"January 16, 2020",Golden Plate Club,,Harold's Chicken Shack,Jacquis Neal,,,
395,DD,Biggie Feedbag XVIII with Mars Melnyk,,"January 21, 2020",📬,,Biggie Feedbag XVIII,Mars Melnyk,,,
396,235,Culver's with Carl Tart,5.00,"January 23, 2020",Platinum Plate Club,"live from Milwaukee, WI",Culver's,Carl Tart,,,
397,DD,National Coney Island with Carl Tart,4.25,"January 28, 2020",Golden Plate Club,"live from Detroit, MI",National Coney Island,Carl Tart,,,
398,236,Swensons with Carl Tart,5.00,"January 30, 2020",Platinum Plate Club,"live from Cleveland, OH",Swensons,Carl Tart,,,
399,DD,Buff Fries and Tiny Tacos with Matty Smith,,"February 4, 2020",,,Buff Fries and Tiny Tacos,Matty Smith,,,
400,237,Boudin Bakery with The Sloppy Boys,2.30,"February 6, 2020",,"Bistro Boudin; live from San Francisco, CA",Boudin Bakery,The Sloppy Boys,,,
401,DD,Rock Hard Seltzer with Marisa Pinson,🔓,"February 11, 2020",,,Rock Hard Seltzer,Marisa Pinson,,,
402,238,Ezell's with Toni Charline Ramos,4.39,"February 13, 2020",Golden Plate Club,"live from Seattle, WA",Ezell's,Toni Charline Ramos,,,
403,DD,I Like Ike's with Ike Shehadeh,,"February 18, 2020",,,I Like Ike's,Ike Shehadeh,,,
404,239,The Habit with Emmy Blotnick,3.17,"February 20, 2020",,,The Habit,Emmy Blotnick,,,
405,DD,Lunar Chew Year with Yusong Liu,,"February 25, 2020",,Chinese snacks,Lunar Chew Year,Yusong Liu,,,
406,240,A&W Canada with Jessica McKenna and Zach Reino (LIVE),5.00,"February 27, 2020",Platinum Plate Club,"live from Vancouver, BC",A&W Canada,Jessica McKenna and Zach Reino (LIVE),,,
407,DD,Supersize Tuesday with Evan Susser,,"March 3, 2020",,Tournament of Chompions: Mac Attack: Bracket Announcement and Eat-In Match-Ups,Supersize Tuesday,Evan Susser,,,
408,241,Round of 64 with Jon Gabrus,,"March 5, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Round of 64,Jon Gabrus,,,
409,DD,Round of 32 (Part 1) with John Gemberling,,"March 10, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Round of 32 (Part 1),John Gemberling,,,
410,242,Round of 32 (Part 2) with Paul F. Tompkins,,"March 12, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Round of 32 (Part 2),Paul F. Tompkins,,,
411,DD,Eat 16 with Lamar Woods,,"March 17, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Eat 16,Lamar Woods,,,
412,243,Elite Ate with Nicole Byer,,"March 19, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Elite Ate,Nicole Byer,,,
413,DD,Fat Chance Kitchen with Claudia O'Doherty,,"March 24, 2020",,Munch Madness: Tournament of Chompions: Mac Attack,Fat Chance Kitchen,Claudia O'Doherty,,,
414,244,McDonald's Chompionship with Don't Stop or We'll Die,,"March 26, 2020",,Munch Madness: Tournament of Chompions: Finale (with Paul Rust and Michael Cassady),McDonald's Chompionship,Don't Stop or We'll Die,,,
415,DD,Biggie Feedbag XVIIII with Yusong Liu,🔓,"March 31, 2020",📬,,Biggie Feedbag XVIIII,Yusong Liu,,,
416,245,Crown Burgers with Betsy Sodaro (Live),4.17,"April 2, 2020",Golden Plate Club,"live from Salt Lake City, UT",Crown Burgers,Betsy Sodaro (Live),,,
417,DD,Bloodshot Mary's,,"April 7, 2020",Dinner is the Movie,Bloodshot,,,,,
418,246,Good Times Burgers with Betsy Sodaro (Live),4.83,"April 9, 2020",Golden Plate Club,"live from Denver, CO",Good Times Burgers,Betsy Sodaro (Live),,,
419,DD,Animal Crossing: Chew Horizons,,"April 14, 2020",,,,,,,
420,247,Honeybaked Ham with Kevin T. Porter,3.92,"April 16, 2020",,,Honeybaked Ham,Kevin T. Porter,,,
421,DD,Freezeezy Speak with Jason Sheridan,,"April 21, 2020",,draft of frozen foods,Freezeezy Speak,Jason Sheridan,,,
422,248,Pizza Hut 2 with Jen D'Angelo,2.08,"April 23, 2020",,,Pizza Hut 2,Jen D'Angelo,,,
423,DD,Biggie Feedbag XX with Yusong Liu,,"April 28, 2020",📬,,Biggie Feedbag XX,Yusong Liu,,,
424,249,Chipotle 3 with Alan Aisenberg and Mike Castle,3.16,"April 30, 2020",,,Chipotle 3,Alan Aisenberg and Mike Castle,,,
425,DD,Tombstone (the movie) with Blank Check,,"May 5, 2020",,Tombstone Week with Griffin Newman and David Sims,Tombstone (the movie),Blank Check,,,
426,250,Tombstone (the pizza) with Blank Check,4.31,"May 7, 2020",Topical Freeze; Frozen Plate Club,Tombstone Week with Griffin Newman and David Sims,Tombstone (the pizza),Blank Check,,,
427,DD,Steak Out with Cody Ziglar,,"May 12, 2020",,,Steak Out,Cody Ziglar,,,
428,251,Tina's Burritos with Jamelle Bouie,3.08,"May 14, 2020",,Topical Freeze,Tina's Burritos,Jamelle Bouie,,,
429,DD,The Scale,🔓,"May 19, 2020",a momentous event,with Emma Erdbrink,,Emma Erdbrink,,,
430,252,Ore-Ida with Jason Mantzoukas,3.17,"May 21, 2020",,Topical Freeze,Ore-Ida,Jason Mantzoukas,,,
431,DD,Biggie Feedbag XXI with Yusong Liu,,"May 26, 2020",📬,with Emma Erdbrink,Biggie Feedbag XXI,Yusong Liu,,,
432,253,Marie Callender's Meals with Cat Solen,2.79,"May 28, 2020",,Topical Freeze,Marie Callender's Meals,Cat Solen,,,
433,DD,Jawin' About Jaws,,"June 3, 2020",Dinner is the Movie,Jaws,,,,,
434,254,Unlocked! The Scale,,"June 4, 2020",,The Scale,,,,,
435,DD,U Talkin' DMB 2 Me? - Deep Tracks Only!,,"June 9, 2020",,with Dave Ferguson,,Dave Ferguson,,,
436,255,Chili's 2 with Joey Janela,3.00,"June 11, 2020",,Chili's To Go menu,Chili's 2,Joey Janela,,,
437,DD,Blimey! It's A Quiz Innit? with Libby Watson,,June 16 2020,,,Blimey! It's A Quiz Innit?,Libby Watson,,,
438,256,Marco's Pizza with Jon Daly,3.25,"June 18, 2020",,,Marco's Pizza,Jon Daly,,,
439,DD,Mount Slushmore with Santina Muha,,"June 23, 2020",,Frozen Drinks,Mount Slushmore,Santina Muha,,,
440,257,Dog Haus with Dani Fernandez,4.17,"June 25, 2020",Golden Plate Club,,Dog Haus,Dani Fernandez,,,
441,DD,Biggie Feedbag XXII,,"June 30, 2020",📬,with Yusong Liu and Emma Erdbrink,,Yusong Liu and Emma Erdbrink,,,
442,258,Trader Joe's with John Hodgman and David Rees,3.81,"July 2, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,Trader Joe's,John Hodgman and David Rees,,,
443,DD,The Great Ice Cream Sandwich Competition with Samantha Nisenboim,,"July 7, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,The Great Ice Cream Sandwich Competition,Samantha Nisenboim,,,
444,259,Whole Foods with Fran Gillespie,1.83,"July 9, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,Whole Foods,Fran Gillespie,,,
445,DD,Stephen King's Sierra Mist with Joan Ford,,"July 14, 2020",Dinner is the Movie,Friendly Green Grocer Mitch's Grocery Store Month; The Mist,Stephen King's Sierra Mist,Joan Ford,,,
446,260,Costco with Griffin Newman,5.00,"July 16, 2020",Platinum Cart Club,Friendly Green Grocer Mitch's Grocery Store Month,Costco,Griffin Newman,,,
447,DD,Checkout Aisle Bounty with Lauren McGuire,,"July 21, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,Checkout Aisle Bounty,Lauren McGuire,,,
448,261,Albertson's with Raj Desai,3.00,"July 23, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,Albertson's,Raj Desai,,,
449,DD,Biggie Feedbag XXIII,,"July 28, 2020",📬,Friendly Green Grocer Mitch's Grocery Store Month,,,,,
450,262,Kroger with Dave King and Esther Povitsky,1.56,"July 30, 2020",,Friendly Green Grocer Mitch's Grocery Store Month,Kroger,Dave King and Esther Povitsky,,,
451,DD,Goldstein & Gasol & Mitchell & Wiger with Pablo Goldstein,,"August 4, 2020",,,Goldstein & Gasol & Mitchell & Wiger,Pablo Goldstein,,,
452,263,Wendy's Breakfast with The Sloppy Boys,3.20,"August 6, 2020",,,Wendy's Breakfast,The Sloppy Boys,,,
453,DD,Puppa Shaq's with Albert Corado,🔓,"August 11, 2020",,Papa John's Shaq-a-Roni,Puppa Shaq's,Albert Corado,,,
454,264,Bonchon Chicken with Ed Zitron,5.33,"August 13, 2020",Platinum Plate Club,Mitch's 6 Fork Rating,Bonchon Chicken,Ed Zitron,,,
455,DD,Biggie Feedbag XXIV,,"August 18, 2020",📬,,,,,,
456,265,Buffalo Wild Wings 2 with Leslie Lee III,3.00,"August 20, 2020",Golden Plate Club,,Buffalo Wild Wings 2,Leslie Lee III,,,
457,DD,Ungapopsicles with Emmy Blotnick,,"August 25, 2020",,,Ungapopsicles,Emmy Blotnick,,,
458,266,Mooby's with Eva Anderson,0.17,"August 27, 2020",,also Mooby calls the show,Mooby's,Eva Anderson,,,
459,DD,The Solo Snacklog,,"September 1, 2020",,with Emma Erdbrink,,Emma Erdbrink,,,
460,267,Potbelly Sandwich Shop with Colt Cabana,3.67,"September 3, 2020",,,Potbelly Sandwich Shop,Colt Cabana,,,
461,DD,Where Everybody Doughs Your Name with Maggie Monahan,🔓,"September 8, 2020",👨‍✈️📺,Doughboys Pilot Program: Cheers,Where Everybody Doughs Your Name,Maggie Monahan,,,
462,268,Blaze Pizza with Eliza Skinner,2.17,"September 10, 2020",,,Blaze Pizza,Eliza Skinner,,,
463,DD,Me Talkin' 'Tallica 2 U? (Me = Wiger) (U = Mitch) - S&M2 Review,,"September 15, 2020",📻,Metallica,,,,,
464,269,In-N-Out Burger 3 with Rob Lowe,5.00,"September 17, 2020",Platinum Plate Club,,In-N-Out Burger 3,Rob Lowe,,,
465,DD,Shake It Up with Joel Boyd,,"September 22, 2020",,,Shake It Up,Joel Boyd,,,
466,270,The Cheesecake Factory 2 with Arden Myrin,5.00,"September 24, 2020",Platinum Plate Club,,The Cheesecake Factory 2,Arden Myrin,,,
467,DD,Biggie Feedbag XXV,,"September 29, 2020",📬,"with Yusong Liu, Emma Erdbrink, and Evan Susser",,Yusong Liu,Emma Erdbrink,and Evan Susser,
468,271,IHOP 4 with Dan Ahdoot,2.50,"October 1, 2020",,Rockaroundtheclock doughberfest 🐔🐺,IHOP 4,Dan Ahdoot,,,
469,DD,Energy Drinks vs. Hot Brown with Kelly Nugent,,"October 6, 2020",,Rockaroundtheclock doughberfest 🐺,Energy Drinks vs. Hot Brown,Kelly Nugent,,,
470,272,ampm with Sierra Katow,3.25,"October 8, 2020",,Rockaroundtheclock doughberfest 🐔,ampm,Sierra Katow,,,
471,DD,"Diners, Drive-ins and Dough with Mary Sasson",,"October 13, 2020",👨‍✈️📺,Rockaroundtheclock doughberfest - Doughboys Pilot Program: Happy Days,"Diners, Drive-ins and Dough",Mary Sasson,,,
472,273,Denny's 3 with Shaun Diston,3.25,"October 15, 2020",,Rockaroundtheclock doughberfest 🐔,Denny's 3,Shaun Diston,,,
473,DD,Doughboys After Dark with Marisa Pinson & David Neher,,"October 20, 2020",,Rockaroundtheclock doughberfest 🐺,Doughboys After Dark,Marisa Pinson,David Neher,,
474,274,7-Eleven 2 with Jason Woliner,2.50,"October 22, 2020",,Rockaroundtheclock dougbherfest 🐺🦉,7-Eleven 2,Jason Woliner,,,
475,DD,The Doughboys Delivery Line,,"October 27, 2020",☎️,Rockaroundtheclock doughberfest,,,,,
476,275,Dunkin' 2 with Mookie Blaiklock,4.50,"October 29, 2020",Golden Plate Club,Rockaroundtheclock doughberfest 🐔,Dunkin' 2,Mookie Blaiklock,,,
477,DD,Nothing Wrong With Rax with Stoney Sharp,,"November 3, 2020",,,Nothing Wrong With Rax,Stoney Sharp,,,
478,276,Paris Baguette with Lesley Tsina,3.83,"November 5, 2020",,,Paris Baguette,Lesley Tsina,,,
479,DD,Danksgiving with Mary Jane Gibson & Mike Glazer,,"November 10, 2020",,🌿,Danksgiving,Mary Jane Gibson,Mike Glazer,,
480,277,Boston Market 2 with Dewayne Perkins,3.50,"November 12, 2020",,,Boston Market 2,Dewayne Perkins,,,
481,DD,Mash-Off 3: Rise of the Mashines with Eva Anderson and Mike Hanford,,"November 17, 2020",🥔,Thanksgiving,Mash-Off 3: Rise of the Mashines,Eva Anderson and Mike Hanford,,,
482,278,Burger King 4 with Don't Stop or We'll Die,3.94,"November 19, 2020",,Michael Cassady and Paul Rust,Burger King 4,Don't Stop or We'll Die,,,
483,DD,Biggie Feedbag XXVI,,"November 24, 2020",📬,Yusong Liu and Emma Erdbrink,,,,,
484,DD,Tossed Salads and Scrambled Egg Nog with Dan Lippert,,"December 1, 2020",👨‍✈️📺,Doughboys Pilot Program: Frasier,Tossed Salads and Scrambled Egg Nog,Dan Lippert,,,
485,279,Peet's Coffee with Chelsea Peretti,3.08,"December 3, 2020",,,Peet's Coffee,Chelsea Peretti,,,
486,DD,Pizza Heaven with Dano,,"December 8, 2020",,New Haven and South Shore pizza tours,Pizza Heaven,Dano,,,
487,280,Domino's 2 with Jamelle Bouie,3.25,"December 10, 2020",,,Domino's 2,Jamelle Bouie,,,
488,DD,A Garfield Christmas Special with Paul Rust,,"December 15, 2020",Dinner is the Movie,,A Garfield Christmas Special,Paul Rust,,,
489,281,Steak 'n Shake 5 with Evan Susser,,"December 17, 2020",🥩🥤,The Glow Up episode,Steak 'n Shake 5,Evan Susser,,,
490,DD,Wige Hard,,"December 22, 2020",🎄,Doughboys Holiday Special,,,,,
491,DD,The Doughboys Delivery Line 2,,"December 29, 2020",☎️,,,,,,
492,DD,Pring in the New Year with Emma Erdbrink,,"January 5, 2021",,Pringles,Pring in the New Year,Emma Erdbrink,,,
493,282,Panera Bread 2 with Monica Ruiz and Chris O'Malley,3.98,"January 7, 2021",,,Panera Bread 2,Monica Ruiz and Chris O'Malley,,,
494,DD,The Drop-Off with Emma Erdbrink and Robert Persinger,,"January 12, 2021",🚽,Drop competition,The Drop-Off,Emma Erdbrink and Robert Persinger,,,
495,283,Jersey Mike's 2 with Jon Daly,4.17,"January 14, 2021",Golden Plate Club,,Jersey Mike's 2,Jon Daly,,,
496,DD,Biggie Feedbag XXVII,,"January 19, 2021",📬,Yusong Liu and Emma Erdbrink,,,,,
497,284,Popeyes Louisiana Kitchen 3 with Phil Rosenthal,4.50,"January 21, 2021",Golden Plate Club,with John Hodgman and Emma Erdbrink,Popeyes Louisiana Kitchen 3,Phil Rosenthal,,,
498,DD,Combos Nation with Marcy Jarreau,,"January 26, 2021",,,Combos Nation,Marcy Jarreau,,,
499,285,Subway 3 with Sean Clements & Hayes Davenport,3.06,"January 28, 2021",,with Kevin Bartelt; debut of Mr. Slice,Subway 3,Sean Clements,Hayes Davenport,,
500,DD,The Doughpranos with Jon Gabrus,,"February 2, 2021",👨‍✈️📺,Doughboys Pilot Program: The Sopranos,The Doughpranos,Jon Gabrus,,,
501,286,Panda Express 3 with Oscar Montoya,3.75,"February 4, 2021",,,Panda Express 3,Oscar Montoya,,,
502,DD,Water 2: Ice with Jacquis Neal,,"February 9, 2021",💧,,Water 2: Ice,Jacquis Neal,,,
503,287,Five Guys 2 with Andy Daly,2.67,"February 11, 2021",,,Five Guys 2,Andy Daly,,,
504,DD,Gremlins in the Wires with Nicole Byer,,"February 16, 2021",,Dinner is the Movie: Gremlins 2: The New Batch,Gremlins in the Wires,Nicole Byer,,,
505,288,Papa John's 2 with Raiza Licea,3.00,"February 18, 2021",,,Papa John's 2,Raiza Licea,,,
506,DD,Biggie Feedbag XXVIII,,"February 23, 2021",📬,Yusong Liu and Emma Erdbrink,,,,,
507,GMA,Good Morning America with Michael Strahan,,"February 24, 2021",,,Good Morning America,Michael Strahan,,,
508,289,KFC 2 with Lauren Ash and Christy Oxborrow,2.13,"February 25, 2021",,,KFC 2,Lauren Ash and Christy Oxborrow,,,
509,DD,Confection Selection Tuesday with Evan Susser,,"March 2, 2021",,Tournament of Chompions: Munch Madness: Pie Noon,Confection Selection Tuesday,Evan Susser,,,
510,290,Round 1 Part 1 with Jon Gabrus,"Winners: Ben & Jerry's, The Cheesecake Factory","March 4, 2021","Losers: Baskin-Robbins, BJ's",Tournament of Chompions: Munch Madness: Pie Noon,Round 1 Part 1,Jon Gabrus,,,
511,DD,"Shaken, Not Stirred Region with Eva Anderson",Winner: Dairy Queen / Orange Julius,"March 9, 2021",Loser: McDonald's,Tournament of Chompions: Munch Madness: Pie Noon,"Shaken, Not Stirred Region",Eva Anderson,,,
512,291,Semisweet Final 1 with Arden Myrin,Winner: Ben & Jerry's,"March 11, 2021",Loser: The Cheesecake Factory,Tournament of Chompions: Munch Madness: Pie Noon,Semisweet Final 1,Arden Myrin,,,
513,DD,Easy Bake Region with Dani Fernandez,Winner: Burger King,"March 16, 2021",Loser: Sprinkles,Tournament of Chompions: Munch Madness: Pie Noon,Easy Bake Region,Dani Fernandez,,,
514,292,Semisweet Final 2 with Carl Tart & Ahsohn Williams,Winner: Dairy Queen / Orange Julius,"March 18, 2021",Loser: Burger King,Tournament of Chompions: Munch Madness: Pie Noon,Semisweet Final 2,Carl Tart,Ahsohn Williams,,
515,DD,The Shipping Chews with Kevin T. Porter,Winner: Sprinkles,"March 23, 2021",Loser: Cinnabon,Tournament of Chompions: Munch Madness: Pie Noon,The Shipping Chews,Kevin T. Porter,,,
516,293,Live Chompionship with Nicole Byer & Jessica McKenna,Winner: Dairy Queen,"March 25, 2021",Loser: Ben & Jerry's and Sprinkles,Tournament of Chompions: Munch Madness: Pie Noon (live),Live Chompionship,Nicole Byer,Jessica McKenna,,
517,DD,Pie Noon: Live Feedbag,,"March 30, 2021",📬,Tournament of Chompions: Munch Madness: Pie Noon (live),,,,,
518,294,Wendy's 2 with Jacob Wysocki,4.75,"April 1, 2021",Platinum Plate Club,Golden Plate Club,Wendy's 2,Jacob Wysocki,,,
519,DD,E-R-E-R Dough with Toni Charline Ramos,,"April 6, 2021",👨‍✈️📺,Doughboys Pilot Program: ER,E-R-E-R Dough,Toni Charline Ramos,,,
520,295,Outback Steakhouse 3 with Joe Wengert,2.00,"April 8, 2021",,,Outback Steakhouse 3,Joe Wengert,,,
521,DD,The Snyder's Cut with Matty Smith,,"April 13, 2021",,Dinner is the Movie: Zack Snyder's Justice League,The Snyder's Cut,Matty Smith,,,
522,296,Raising Cane's Chicken Fingers with Matt Selman,4.58,"April 15, 2021",,,Raising Cane's Chicken Fingers,Matt Selman,,,
523,DD,The How High Republic with Shaun Diston,,"April 20, 2021",,Dinner is the Movie: How High,The How High Republic,Shaun Diston,,,
524,297,MrBeast Burger with Jason Concepcion,2.17,"April 22, 2021",,,MrBeast Burger,Jason Concepcion,,,
525,DD,Biggie Feedbag XXIX,,"April 27, 2021",📬,with Yusong Liu and Emma Erdbrink,,Yusong Liu and Emma Erdbrink,,,
526,298,Olive Garden 3 with Alison Rosen,3.17,"April 29, 2021",,,Olive Garden 3,Alison Rosen,,,
527,THON21,Doughathon 2021,,"April 30, 2021",,25-hour live stream for charity,,,,,
528,DD,May The Forks Be With You with Jason Mantzoukas,,"May 4, 2021",👨‍✈️📺,Doughboys Pilot Program: Star Wars Rebels,May The Forks Be With You,Jason Mantzoukas,,,
529,299,Cosmic Wings with Jana Schmieding,1.67,"May 6, 2021",,,Cosmic Wings,Jana Schmieding,,,
530,DD,"Tonight, We Dine In Hell with Matt Kowalick",,"May 11, 2021",,Dinner is the Movie: 300,"Tonight, We Dine In Hell",Matt Kowalick,,,
531,300,Guy Fieri's Flavortown Kitchen with Eva Anderson,3.13,"May 13, 2021",,episode 300!,Guy Fieri's Flavortown Kitchen,Eva Anderson,,,
532,DD,BK Kid's Club is Back! with Griffin Newman,,"May 18, 2021",,,BK Kid's Club is Back!,Griffin Newman,,,
533,301,Yard House 2 with Dave Schilling,3.67,"May 20, 2021",,,Yard House 2,Dave Schilling,,,
534,DD,Biggie Feedbag XXX,,"May 25, 2021",📬,,,,,,
535,302,Taco Bell 5 with Christine Nangle & Carl Tart (Live),4.81,"May 27, 2021",Golden Plate Club,live during Doughathon 2021; with Eric Badlands Booker and Jon Gabrus,Taco Bell 5,Christine Nangle,Carl Tart (Live),,
